InstanceName	InstancePath	Time	LimitTime	Objective	status	nbNodes
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.2_mMax_1_m0_1/instance0.txt	0.0115571	600	12	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.2_mMax_1_m0_1/instance1.txt	0.0132109	600	2	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.2_mMax_1_m0_1/instance2.txt	0.00920181	600	6	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.2_mMax_1_m0_1/instance3.txt	0.00910815	600	8	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.2_mMax_1_m0_1/instance4.txt	0.011603	600	2	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.4_mMax_1_m0_1/instance0.txt	0.0129592	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.4_mMax_1_m0_1/instance1.txt	0.0113371	600	3	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.4_mMax_1_m0_1/instance2.txt	0.0150068	600	2	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.4_mMax_1_m0_1/instance3.txt	0.0138496	600	2	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.4_mMax_1_m0_1/instance4.txt	0.0109015	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance0.txt	0.0115743	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance1.txt	0.0130753	600	1	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance2.txt	0.0151031	600	5	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance3.txt	0.014481	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.6_mMax_1_m0_1/instance4.txt	0.0129839	600	5	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance0.txt	0.0175939	600	1	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance1.txt	0.0150154	600	3	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance2.txt	0.0118717	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance3.txt	0.0174939	600	1	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_0.8_mMax_1_m0_1/instance4.txt	0.0113257	600	2	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance0.txt	0.0138773	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance1.txt	0.0131421	600	2	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance2.txt	0.0113579	600	1	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance3.txt	0.0099329	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.4_rdd_1.0_mMax_1_m0_1/instance4.txt	0.0145287	600	1	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance0.txt	0.011917	600	11	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance1.txt	0.00799215	600	10	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance2.txt	0.0114242	600	11	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance3.txt	0.0123851	600	8	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.2_mMax_1_m0_1/instance4.txt	0.0174592	600	8	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.4_mMax_1_m0_1/instance0.txt	0.0116047	600	2	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.4_mMax_1_m0_1/instance1.txt	0.0120024	600	2	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.4_mMax_1_m0_1/instance2.txt	0.0127293	600	4	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.4_mMax_1_m0_1/instance3.txt	0.00785443	600	16	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.4_mMax_1_m0_1/instance4.txt	0.0133282	600	2	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.6_mMax_1_m0_1/instance0.txt	0.00960765	600	4	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.6_mMax_1_m0_1/instance1.txt	0.0136977	600	4	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.6_mMax_1_m0_1/instance2.txt	0.00929504	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.6_mMax_1_m0_1/instance3.txt	0.0143117	600	6	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.6_mMax_1_m0_1/instance4.txt	0.0129739	600	1	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.8_mMax_1_m0_1/instance0.txt	0.0128786	600	2	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.8_mMax_1_m0_1/instance1.txt	0.0118197	600	3	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.8_mMax_1_m0_1/instance2.txt	0.0166771	600	3	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.8_mMax_1_m0_1/instance3.txt	0.0142568	600	2	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_0.8_mMax_1_m0_1/instance4.txt	0.0201317	600	1	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_1.0_mMax_1_m0_1/instance0.txt	0.013302	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_1.0_mMax_1_m0_1/instance1.txt	0.010758	600	3	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_1.0_mMax_1_m0_1/instance2.txt	0.0158668	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_1.0_mMax_1_m0_1/instance3.txt	0.00944723	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.6_rdd_1.0_mMax_1_m0_1/instance4.txt	0.0117618	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.2_mMax_1_m0_1/instance0.txt	0.0104709	600	10	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.2_mMax_1_m0_1/instance1.txt	0.0105381	600	10	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.2_mMax_1_m0_1/instance2.txt	0.00821997	600	9	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.2_mMax_1_m0_1/instance3.txt	0.00886789	600	4	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.2_mMax_1_m0_1/instance4.txt	0.0121846	600	9	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.4_mMax_1_m0_1/instance0.txt	0.011057	600	13	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.4_mMax_1_m0_1/instance1.txt	0.0114596	600	15	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.4_mMax_1_m0_1/instance2.txt	0.0103454	600	14	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.4_mMax_1_m0_1/instance3.txt	0.0154738	600	1	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.4_mMax_1_m0_1/instance4.txt	0.00895191	600	10	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.6_mMax_1_m0_1/instance0.txt	0.0126019	600	3	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.6_mMax_1_m0_1/instance1.txt	0.0095823	600	1	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.6_mMax_1_m0_1/instance2.txt	0.0112744	600	7	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.6_mMax_1_m0_1/instance3.txt	0.00885965	600	12	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.6_mMax_1_m0_1/instance4.txt	0.00888361	600	11	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.8_mMax_1_m0_1/instance0.txt	0.0165285	600	12	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.8_mMax_1_m0_1/instance1.txt	0.0115741	600	1	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.8_mMax_1_m0_1/instance2.txt	0.0140317	600	6	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.8_mMax_1_m0_1/instance3.txt	0.0114204	600	2	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_0.8_mMax_1_m0_1/instance4.txt	0.0134024	600	1	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_1.0_mMax_1_m0_1/instance0.txt	0.0130076	600	4	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_1.0_mMax_1_m0_1/instance1.txt	0.0118325	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_1.0_mMax_1_m0_1/instance2.txt	0.0127859	600	3	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_1.0_mMax_1_m0_1/instance3.txt	0.0118049	600	2	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_0.8_rdd_1.0_mMax_1_m0_1/instance4.txt	0.0122065	600	1	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.2_mMax_1_m0_1/instance0.txt	0.00952887	600	18	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.2_mMax_1_m0_1/instance1.txt	0.00971311	600	16	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.2_mMax_1_m0_1/instance2.txt	0.00740877	600	14	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.2_mMax_1_m0_1/instance3.txt	0.00944178	600	18	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.2_mMax_1_m0_1/instance4.txt	0.0100323	600	13	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.4_mMax_1_m0_1/instance0.txt	0.00938626	600	6	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.4_mMax_1_m0_1/instance1.txt	0.00945316	600	9	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.4_mMax_1_m0_1/instance2.txt	0.00905458	600	28	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.4_mMax_1_m0_1/instance3.txt	0.0101509	600	8	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.4_mMax_1_m0_1/instance4.txt	0.00975921	600	8	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.6_mMax_1_m0_1/instance0.txt	0.0104846	600	6	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.6_mMax_1_m0_1/instance1.txt	0.00982556	600	7	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.6_mMax_1_m0_1/instance2.txt	0.00756989	600	9	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.6_mMax_1_m0_1/instance3.txt	0.0164367	600	19	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.6_mMax_1_m0_1/instance4.txt	0.00871368	600	11	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.8_mMax_1_m0_1/instance0.txt	0.0127796	600	10	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.8_mMax_1_m0_1/instance1.txt	0.0132921	600	7	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.8_mMax_1_m0_1/instance2.txt	0.0106458	600	6	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.8_mMax_1_m0_1/instance3.txt	0.012372	600	10	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_0.8_mMax_1_m0_1/instance4.txt	0.00760544	600	19	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_1.0_mMax_1_m0_1/instance0.txt	0.00862485	600	2	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_1.0_mMax_1_m0_1/instance1.txt	0.0136693	600	4	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_1.0_mMax_1_m0_1/instance2.txt	0.0110027	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_1.0_mMax_1_m0_1/instance3.txt	0.00884128	600	5	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_7_N_15_tf_1.0_rdd_1.0_mMax_1_m0_1/instance4.txt	0.0146529	600	1	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance0.txt	0.00364069	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance1.txt	0.00390588	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance2.txt	0.00396971	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance3.txt	0.00366241	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1/instance4.txt	0.00457091	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance0.txt	0.00388381	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance1.txt	0.00357029	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance2.txt	0.00410353	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance3.txt	0.00369824	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1/instance4.txt	0.00387822	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance0.txt	0.00371088	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance1.txt	0.00401909	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance2.txt	0.00436215	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance3.txt	0.0036432	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1/instance4.txt	0.0036263	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance0.txt	0.00355199	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance1.txt	0.00386886	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance2.txt	0.00374643	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance3.txt	0.00415919	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_0.8_mMax_1_m0_1/instance4.txt	0.00414257	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance0.txt	0.00367896	600	0	Optimal	0
instance1	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance1.txt	0.00372548	600	0	Optimal	0
instance2	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance2.txt	0.00369258	600	0	Optimal	0
instance3	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance3.txt	0.00407203	600	0	Optimal	0
instance4	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.2_rdd_1.0_mMax_1_m0_1/instance4.txt	0.00378617	600	0	Optimal	0
instance0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/n_3_N_15_tf_0.4_rdd_0.2_mMax_1_m0_1/instance0.txt	0.0040545	600	0	Optimal	0
